h1 pinc -c100 h5

PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_req=1 ttl=64 time=34.8 ms
64 bytes from 10.0.0.5: icmp_req=2 ttl=64 time=17.7 ms
64 bytes from 10.0.0.5: icmp_req=3 ttl=64 time=55.1 ms
64 bytes from 10.0.0.5: icmp_req=4 ttl=64 time=35.7 ms
64 bytes from 10.0.0.5: icmp_req=5 ttl=64 time=24.0 ms
64 bytes from 10.0.0.5: icmp_req=6 ttl=64 time=13.2 ms
64 bytes from 10.0.0.5: icmp_req=7 ttl=64 time=18.9 ms
64 bytes from 10.0.0.5: icmp_req=8 ttl=64 time=50.6 ms
64 bytes from 10.0.0.5: icmp_req=9 ttl=64 time=30.1 ms
64 bytes from 10.0.0.5: icmp_req=10 ttl=64 time=14.4 ms
64 bytes from 10.0.0.5: icmp_req=11 ttl=64 time=43.0 ms
64 bytes from 10.0.0.5: icmp_req=12 ttl=64 time=21.8 ms
64 bytes from 10.0.0.5: icmp_req=13 ttl=64 time=57.6 ms
64 bytes from 10.0.0.5: icmp_req=14 ttl=64 time=40.6 ms
64 bytes from 10.0.0.5: icmp_req=15 ttl=64 time=25.4 ms
64 bytes from 10.0.0.5: icmp_req=16 ttl=64 time=58.5 ms
64 bytes from 10.0.0.5: icmp_req=17 ttl=64 time=43.0 ms
64 bytes from 10.0.0.5: icmp_req=18 ttl=64 time=26.3 ms
64 bytes from 10.0.0.5: icmp_req=19 ttl=64 time=57.1 ms
64 bytes from 10.0.0.5: icmp_req=20 ttl=64 time=38.5 ms
64 bytes from 10.0.0.5: icmp_req=21 ttl=64 time=22.9 ms
64 bytes from 10.0.0.5: icmp_req=22 ttl=64 time=56.4 ms
64 bytes from 10.0.0.5: icmp_req=23 ttl=64 time=42.3 ms
64 bytes from 10.0.0.5: icmp_req=24 ttl=64 time=24.8 ms
64 bytes from 10.0.0.5: icmp_req=25 ttl=64 time=61.1 ms
64 bytes from 10.0.0.5: icmp_req=26 ttl=64 time=40.5 ms
64 bytes from 10.0.0.5: icmp_req=27 ttl=64 time=22.0 ms
64 bytes from 10.0.0.5: icmp_req=28 ttl=64 time=55.6 ms
64 bytes from 10.0.0.5: icmp_req=29 ttl=64 time=56.5 ms
64 bytes from 10.0.0.5: icmp_req=30 ttl=64 time=40.2 ms
64 bytes from 10.0.0.5: icmp_req=31 ttl=64 time=21.4 ms
64 bytes from 10.0.0.5: icmp_req=32 ttl=64 time=10.5 ms
64 bytes from 10.0.0.5: icmp_req=33 ttl=64 time=41.0 ms
64 bytes from 10.0.0.5: icmp_req=34 ttl=64 time=23.2 ms
64 bytes from 10.0.0.5: icmp_req=35 ttl=64 time=61.2 ms
64 bytes from 10.0.0.5: icmp_req=36 ttl=64 time=43.7 ms
64 bytes from 10.0.0.5: icmp_req=37 ttl=64 time=24.8 ms
64 bytes from 10.0.0.5: icmp_req=38 ttl=64 time=58.3 ms
64 bytes from 10.0.0.5: icmp_req=39 ttl=64 time=44.3 ms
64 bytes from 10.0.0.5: icmp_req=40 ttl=64 time=29.3 ms
64 bytes from 10.0.0.5: icmp_req=41 ttl=64 time=9.82 ms
64 bytes from 10.0.0.5: icmp_req=42 ttl=64 time=44.0 ms
64 bytes from 10.0.0.5: icmp_req=43 ttl=64 time=25.6 ms
64 bytes from 10.0.0.5: icmp_req=44 ttl=64 time=54.3 ms
64 bytes from 10.0.0.5: icmp_req=45 ttl=64 time=36.7 ms
64 bytes from 10.0.0.5: icmp_req=46 ttl=64 time=19.3 ms
64 bytes from 10.0.0.5: icmp_req=47 ttl=64 time=49.2 ms
64 bytes from 10.0.0.5: icmp_req=48 ttl=64 time=31.3 ms
