h1 ping -c100 h4

PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_req=1 ttl=64 time=43.0 ms
64 bytes from 10.0.0.4: icmp_req=2 ttl=64 time=24.9 ms
64 bytes from 10.0.0.4: icmp_req=3 ttl=64 time=10.9 ms
64 bytes from 10.0.0.4: icmp_req=4 ttl=64 time=42.6 ms
64 bytes from 10.0.0.4: icmp_req=5 ttl=64 time=25.0 ms
64 bytes from 10.0.0.4: icmp_req=6 ttl=64 time=92.3 ms
64 bytes from 10.0.0.4: icmp_req=7 ttl=64 time=36.5 ms
64 bytes from 10.0.0.4: icmp_req=8 ttl=64 time=17.3 ms
64 bytes from 10.0.0.4: icmp_req=9 ttl=64 time=47.3 ms
64 bytes from 10.0.0.4: icmp_req=10 ttl=64 time=29.9 ms
64 bytes from 10.0.0.4: icmp_req=11 ttl=64 time=11.9 ms
64 bytes from 10.0.0.4: icmp_req=12 ttl=64 time=48.6 ms
64 bytes from 10.0.0.4: icmp_req=13 ttl=64 time=33.8 ms
64 bytes from 10.0.0.4: icmp_req=14 ttl=64 time=14.0 ms
64 bytes from 10.0.0.4: icmp_req=15 ttl=64 time=48.8 ms
64 bytes from 10.0.0.4: icmp_req=16 ttl=64 time=30.0 ms
64 bytes from 10.0.0.4: icmp_req=17 ttl=64 time=12.0 ms
64 bytes from 10.0.0.4: icmp_req=18 ttl=64 time=45.0 ms
64 bytes from 10.0.0.4: icmp_req=19 ttl=64 time=26.7 ms
64 bytes from 10.0.0.4: icmp_req=20 ttl=64 time=56.3 ms
64 bytes from 10.0.0.4: icmp_req=21 ttl=64 time=38.7 ms
64 bytes from 10.0.0.4: icmp_req=22 ttl=64 time=21.0 ms
64 bytes from 10.0.0.4: icmp_req=23 ttl=64 time=50.6 ms
64 bytes from 10.0.0.4: icmp_req=24 ttl=64 time=31.4 ms
64 bytes from 10.0.0.4: icmp_req=25 ttl=64 time=13.9 ms
64 bytes from 10.0.0.4: icmp_req=26 ttl=64 time=43.8 ms
64 bytes from 10.0.0.4: icmp_req=27 ttl=64 time=24.9 ms
64 bytes from 10.0.0.4: icmp_req=28 ttl=64 time=56.2 ms
64 bytes from 10.0.0.4: icmp_req=29 ttl=64 time=37.0 ms
64 bytes from 10.0.0.4: icmp_req=30 ttl=64 time=20.1 ms
64 bytes from 10.0.0.4: icmp_req=31 ttl=64 time=51.2 ms
64 bytes from 10.0.0.4: icmp_req=32 ttl=64 time=33.8 ms
64 bytes from 10.0.0.4: icmp_req=33 ttl=64 time=15.8 ms
64 bytes from 10.0.0.4: icmp_req=34 ttl=64 time=47.2 ms
64 bytes from 10.0.0.4: icmp_req=35 ttl=64 time=30.3 ms
64 bytes from 10.0.0.4: icmp_req=36 ttl=64 time=9.45 ms
64 bytes from 10.0.0.4: icmp_req=37 ttl=64 time=40.7 ms
64 bytes from 10.0.0.4: icmp_req=38 ttl=64 time=21.6 ms
64 bytes from 10.0.0.4: icmp_req=39 ttl=64 time=51.7 ms
64 bytes from 10.0.0.4: icmp_req=40 ttl=64 time=33.8 ms
64 bytes from 10.0.0.4: icmp_req=41 ttl=64 time=14.6 ms
64 bytes from 10.0.0.4: icmp_req=42 ttl=64 time=49.9 ms
64 bytes from 10.0.0.4: icmp_req=43 ttl=64 time=36.8 ms
64 bytes from 10.0.0.4: icmp_req=44 ttl=64 time=21.9 ms
64 bytes from 10.0.0.4: icmp_req=45 ttl=64 time=122 ms
64 bytes from 10.0.0.4: icmp_req=46 ttl=64 time=54.1 ms
64 bytes from 10.0.0.4: icmp_req=47 ttl=64 time=38.7 ms
64 bytes from 10.0.0.4: icmp_req=48 ttl=64 time=23.5 ms
64 bytes from 10.0.0.4: icmp_req=49 ttl=64 time=54.9 ms
64 bytes from 10.0.0.4: icmp_req=50 ttl=64 time=37.1 ms
64 bytes from 10.0.0.4: icmp_req=51 ttl=64 time=16.5 ms
64 bytes from 10.0.0.4: icmp_req=52 ttl=64 time=49.9 ms
64 bytes from 10.0.0.4: icmp_req=53 ttl=64 time=30.9 ms
64 bytes from 10.0.0.4: icmp_req=54 ttl=64 time=9.59 ms
64 bytes from 10.0.0.4: icmp_req=55 ttl=64 time=42.1 ms
64 bytes from 10.0.0.4: icmp_req=56 ttl=64 time=23.4 ms
64 bytes from 10.0.0.4: icmp_req=57 ttl=64 time=54.3 ms
64 bytes from 10.0.0.4: icmp_req=58 ttl=64 time=35.8 ms
