h1 ping -c100 h2

PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=1 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_req=2 ttl=64 time=0.445 ms
64 bytes from 10.0.0.2: icmp_req=3 ttl=64 time=0.095 ms
64 bytes from 10.0.0.2: icmp_req=4 ttl=64 time=8.37 ms
64 bytes from 10.0.0.2: icmp_req=5 ttl=64 time=0.605 ms
64 bytes from 10.0.0.2: icmp_req=6 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_req=7 ttl=64 time=21.4 ms
64 bytes from 10.0.0.2: icmp_req=8 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_req=9 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_req=10 ttl=64 time=51.4 ms
64 bytes from 10.0.0.2: icmp_req=11 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_req=12 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=13 ttl=64 time=45.9 ms
64 bytes from 10.0.0.2: icmp_req=14 ttl=64 time=0.448 ms
64 bytes from 10.0.0.2: icmp_req=15 ttl=64 time=0.098 ms
64 bytes from 10.0.0.2: icmp_req=16 ttl=64 time=41.9 ms
64 bytes from 10.0.0.2: icmp_req=17 ttl=64 time=0.748 ms
64 bytes from 10.0.0.2: icmp_req=18 ttl=64 time=0.093 ms
64 bytes from 10.0.0.2: icmp_req=19 ttl=64 time=24.4 ms
64 bytes from 10.0.0.2: icmp_req=20 ttl=64 time=0.531 ms
64 bytes from 10.0.0.2: icmp_req=21 ttl=64 time=0.085 ms
64 bytes from 10.0.0.2: icmp_req=22 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_req=23 ttl=64 time=0.451 ms
64 bytes from 10.0.0.2: icmp_req=24 ttl=64 time=0.105 ms
64 bytes from 10.0.0.2: icmp_req=25 ttl=64 time=20.7 ms
64 bytes from 10.0.0.2: icmp_req=26 ttl=64 time=0.443 ms
64 bytes from 10.0.0.2: icmp_req=27 ttl=64 time=0.116 ms
64 bytes from 10.0.0.2: icmp_req=28 ttl=64 time=17.2 ms
64 bytes from 10.0.0.2: icmp_req=29 ttl=64 time=0.576 ms
64 bytes from 10.0.0.2: icmp_req=30 ttl=64 time=0.079 ms
64 bytes from 10.0.0.2: icmp_req=31 ttl=64 time=17.3 ms
64 bytes from 10.0.0.2: icmp_req=32 ttl=64 time=1.87 ms
64 bytes from 10.0.0.2: icmp_req=33 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=34 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_req=35 ttl=64 time=0.525 ms
64 bytes from 10.0.0.2: icmp_req=36 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_req=37 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_req=38 ttl=64 time=0.442 ms
64 bytes from 10.0.0.2: icmp_req=39 ttl=64 time=0.090 ms
64 bytes from 10.0.0.2: icmp_req=40 ttl=64 time=44.9 ms
64 bytes from 10.0.0.2: icmp_req=41 ttl=64 time=0.427 ms
64 bytes from 10.0.0.2: icmp_req=42 ttl=64 time=0.068 ms
64 bytes from 10.0.0.2: icmp_req=43 ttl=64 time=39.1 ms
64 bytes from 10.0.0.2: icmp_req=44 ttl=64 time=0.422 ms
64 bytes from 10.0.0.2: icmp_req=45 ttl=64 time=0.092 ms
64 bytes from 10.0.0.2: icmp_req=46 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_req=47 ttl=64 time=0.234 ms
64 bytes from 10.0.0.2: icmp_req=48 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_req=49 ttl=64 time=9.29 ms
64 bytes from 10.0.0.2: icmp_req=50 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_req=51 ttl=64 time=0.077 ms
64 bytes from 10.0.0.2: icmp_req=52 ttl=64 time=21.4 ms
64 bytes from 10.0.0.2: icmp_req=53 ttl=64 time=0.818 ms
64 bytes from 10.0.0.2: icmp_req=54 ttl=64 time=0.084 ms
64 bytes from 10.0.0.2: icmp_req=55 ttl=64 time=86.1 ms
64 bytes from 10.0.0.2: icmp_req=56 ttl=64 time=0.275 ms
64 bytes from 10.0.0.2: icmp_req=57 ttl=64 time=0.089 ms
64 bytes from 10.0.0.2: icmp_req=58 ttl=64 time=49.2 ms
64 bytes from 10.0.0.2: icmp_req=59 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_req=60 ttl=64 time=0.056 ms
64 bytes from 10.0.0.2: icmp_req=61 ttl=64 time=45.6 ms
64 bytes from 10.0.0.2: icmp_req=62 ttl=64 time=0.430 ms
64 bytes from 10.0.0.2: icmp_req=63 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_req=64 ttl=64 time=23.7 ms
64 bytes from 10.0.0.2: icmp_req=65 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_req=66 ttl=64 time=0.106 ms
64 bytes from 10.0.0.2: icmp_req=67 ttl=64 time=41.4 ms
64 bytes from 10.0.0.2: icmp_req=68 ttl=64 time=0.544 ms
64 bytes from 10.0.0.2: icmp_req=69 ttl=64 time=0.095 ms
64 bytes from 10.0.0.2: icmp_req=70 ttl=64 time=22.1 ms
64 bytes from 10.0.0.2: icmp_req=71 ttl=64 time=0.533 ms
64 bytes from 10.0.0.2: icmp_req=72 ttl=64 time=0.092 ms
64 bytes from 10.0.0.2: icmp_req=73 ttl=64 time=16.1 ms
64 bytes from 10.0.0.2: icmp_req=74 ttl=64 time=0.256 ms
64 bytes from 10.0.0.2: icmp_req=75 ttl=64 time=0.102 ms
64 bytes from 10.0.0.2: icmp_req=76 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_req=77 ttl=64 time=0.377 ms
64 bytes from 10.0.0.2: icmp_req=78 ttl=64 time=0.082 ms
64 bytes from 10.0.0.2: icmp_req=79 ttl=64 time=45.5 ms
64 bytes from 10.0.0.2: icmp_req=80 ttl=64 time=0.529 ms
64 bytes from 10.0.0.2: icmp_req=81 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_req=82 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_req=83 ttl=64 time=0.844 ms
64 bytes from 10.0.0.2: icmp_req=84 ttl=64 time=0.091 ms
64 bytes from 10.0.0.2: icmp_req=85 ttl=64 time=41.8 ms
64 bytes from 10.0.0.2: icmp_req=86 ttl=64 time=0.375 ms
64 bytes from 10.0.0.2: icmp_req=87 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_req=88 ttl=64 time=42.6 ms
64 bytes from 10.0.0.2: icmp_req=89 ttl=64 time=0.678 ms
64 bytes from 10.0.0.2: icmp_req=90 ttl=64 time=0.035 ms
64 bytes from 10.0.0.2: icmp_req=91 ttl=64 time=41.5 ms
64 bytes from 10.0.0.2: icmp_req=92 ttl=64 time=0.580 ms
64 bytes from 10.0.0.2: icmp_req=93 ttl=64 time=0.044 ms
64 bytes from 10.0.0.2: icmp_req=94 ttl=64 time=18.7 ms
64 bytes from 10.0.0.2: icmp_req=95 ttl=64 time=0.425 ms
64 bytes from 10.0.0.2: icmp_req=96 ttl=64 time=0.054 ms
64 bytes from 10.0.0.2: icmp_req=97 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_req=98 ttl=64 time=0.430 ms
64 bytes from 10.0.0.2: icmp_req=99 ttl=64 time=0.145 ms
64 bytes from 10.0.0.2: icmp_req=100 ttl=64 time=14.2 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99053ms
rtt min/avg/max/mdev = 0.035/10.823/86.165/17.523 ms
