h1 ping -c100 h4
PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_req=1 ttl=64 time=0.110 ms
64 bytes from 10.0.0.4: icmp_req=2 ttl=64 time=0.121 ms
64 bytes from 10.0.0.4: icmp_req=3 ttl=64 time=0.101 ms
64 bytes from 10.0.0.4: icmp_req=4 ttl=64 time=0.115 ms
64 bytes from 10.0.0.4: icmp_req=5 ttl=64 time=0.175 ms
64 bytes from 10.0.0.4: icmp_req=6 ttl=64 time=0.110 ms
64 bytes from 10.0.0.4: icmp_req=7 ttl=64 time=0.113 ms
64 bytes from 10.0.0.4: icmp_req=8 ttl=64 time=0.129 ms
64 bytes from 10.0.0.4: icmp_req=9 ttl=64 time=0.112 ms
64 bytes from 10.0.0.4: icmp_req=10 ttl=64 time=0.122 ms
64 bytes from 10.0.0.4: icmp_req=11 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=12 ttl=64 time=0.114 ms
64 bytes from 10.0.0.4: icmp_req=13 ttl=64 time=0.133 ms
64 bytes from 10.0.0.4: icmp_req=14 ttl=64 time=0.105 ms
64 bytes from 10.0.0.4: icmp_req=15 ttl=64 time=0.130 ms
64 bytes from 10.0.0.4: icmp_req=16 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=17 ttl=64 time=0.094 ms
64 bytes from 10.0.0.4: icmp_req=18 ttl=64 time=0.121 ms
64 bytes from 10.0.0.4: icmp_req=19 ttl=64 time=0.139 ms
64 bytes from 10.0.0.4: icmp_req=20 ttl=64 time=0.119 ms
64 bytes from 10.0.0.4: icmp_req=21 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=22 ttl=64 time=0.114 ms
64 bytes from 10.0.0.4: icmp_req=23 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=24 ttl=64 time=0.133 ms
64 bytes from 10.0.0.4: icmp_req=25 ttl=64 time=0.106 ms
64 bytes from 10.0.0.4: icmp_req=26 ttl=64 time=0.104 ms
64 bytes from 10.0.0.4: icmp_req=27 ttl=64 time=0.095 ms
64 bytes from 10.0.0.4: icmp_req=28 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=29 ttl=64 time=0.133 ms
64 bytes from 10.0.0.4: icmp_req=30 ttl=64 time=0.103 ms
64 bytes from 10.0.0.4: icmp_req=31 ttl=64 time=0.130 ms
64 bytes from 10.0.0.4: icmp_req=32 ttl=64 time=0.134 ms
64 bytes from 10.0.0.4: icmp_req=33 ttl=64 time=0.093 ms
64 bytes from 10.0.0.4: icmp_req=34 ttl=64 time=0.127 ms
64 bytes from 10.0.0.4: icmp_req=35 ttl=64 time=0.055 ms
64 bytes from 10.0.0.4: icmp_req=36 ttl=64 time=0.054 ms
64 bytes from 10.0.0.4: icmp_req=37 ttl=64 time=0.157 ms
64 bytes from 10.0.0.4: icmp_req=38 ttl=64 time=0.110 ms
64 bytes from 10.0.0.4: icmp_req=39 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=40 ttl=64 time=0.128 ms
64 bytes from 10.0.0.4: icmp_req=41 ttl=64 time=0.000 ms
64 bytes from 10.0.0.4: icmp_req=42 ttl=64 time=0.098 ms
64 bytes from 10.0.0.4: icmp_req=43 ttl=64 time=0.109 ms
64 bytes from 10.0.0.4: icmp_req=44 ttl=64 time=0.129 ms
64 bytes from 10.0.0.4: icmp_req=45 ttl=64 time=0.133 ms
64 bytes from 10.0.0.4: icmp_req=46 ttl=64 time=0.205 ms
64 bytes from 10.0.0.4: icmp_req=47 ttl=64 time=0.113 ms
64 bytes from 10.0.0.4: icmp_req=48 ttl=64 time=0.072 ms
64 bytes from 10.0.0.4: icmp_req=49 ttl=64 time=0.298 ms
64 bytes from 10.0.0.4: icmp_req=50 ttl=64 time=0.088 ms
64 bytes from 10.0.0.4: icmp_req=51 ttl=64 time=0.076 ms
64 bytes from 10.0.0.4: icmp_req=52 ttl=64 time=0.001 ms
64 bytes from 10.0.0.4: icmp_req=53 ttl=64 time=0.026 ms
64 bytes from 10.0.0.4: icmp_req=54 ttl=64 time=0.072 ms
64 bytes from 10.0.0.4: icmp_req=55 ttl=64 time=0.055 ms
64 bytes from 10.0.0.4: icmp_req=56 ttl=64 time=0.195 ms
64 bytes from 10.0.0.4: icmp_req=57 ttl=64 time=0.115 ms
64 bytes from 10.0.0.4: icmp_req=58 ttl=64 time=0.114 ms
64 bytes from 10.0.0.4: icmp_req=59 ttl=64 time=0.112 ms
64 bytes from 10.0.0.4: icmp_req=60 ttl=64 time=0.071 ms
64 bytes from 10.0.0.4: icmp_req=61 ttl=64 time=0.076 ms
64 bytes from 10.0.0.4: icmp_req=62 ttl=64 time=0.199 ms
64 bytes from 10.0.0.4: icmp_req=63 ttl=64 time=0.081 ms
64 bytes from 10.0.0.4: icmp_req=64 ttl=64 time=0.073 ms
64 bytes from 10.0.0.4: icmp_req=65 ttl=64 time=0.057 ms
64 bytes from 10.0.0.4: icmp_req=66 ttl=64 time=0.125 ms
64 bytes from 10.0.0.4: icmp_req=67 ttl=64 time=0.069 ms
64 bytes from 10.0.0.4: icmp_req=68 ttl=64 time=0.114 ms
64 bytes from 10.0.0.4: icmp_req=69 ttl=64 time=0.069 ms
64 bytes from 10.0.0.4: icmp_req=70 ttl=64 time=0.130 ms
64 bytes from 10.0.0.4: icmp_req=71 ttl=64 time=0.097 ms
64 bytes from 10.0.0.4: icmp_req=72 ttl=64 time=0.106 ms
64 bytes from 10.0.0.4: icmp_req=73 ttl=64 time=0.084 ms
64 bytes from 10.0.0.4: icmp_req=74 ttl=64 time=0.145 ms
64 bytes from 10.0.0.4: icmp_req=75 ttl=64 time=0.221 ms
64 bytes from 10.0.0.4: icmp_req=76 ttl=64 time=0.287 ms
64 bytes from 10.0.0.4: icmp_req=77 ttl=64 time=0.082 ms
64 bytes from 10.0.0.4: icmp_req=78 ttl=64 time=0.267 ms
64 bytes from 10.0.0.4: icmp_req=79 ttl=64 time=0.110 ms
64 bytes from 10.0.0.4: icmp_req=80 ttl=64 time=0.075 ms
64 bytes from 10.0.0.4: icmp_req=81 ttl=64 time=0.114 ms
64 bytes from 10.0.0.4: icmp_req=82 ttl=64 time=0.056 ms
64 bytes from 10.0.0.4: icmp_req=83 ttl=64 time=0.090 ms
64 bytes from 10.0.0.4: icmp_req=84 ttl=64 time=0.245 ms
64 bytes from 10.0.0.4: icmp_req=85 ttl=64 time=0.225 ms
64 bytes from 10.0.0.4: icmp_req=86 ttl=64 time=0.086 ms
64 bytes from 10.0.0.4: icmp_req=87 ttl=64 time=0.096 ms
64 bytes from 10.0.0.4: icmp_req=88 ttl=64 time=0.216 ms
64 bytes from 10.0.0.4: icmp_req=89 ttl=64 time=0.131 ms
64 bytes from 10.0.0.4: icmp_req=90 ttl=64 time=0.287 ms
64 bytes from 10.0.0.4: icmp_req=91 ttl=64 time=0.137 ms
64 bytes from 10.0.0.4: icmp_req=92 ttl=64 time=0.320 ms
64 bytes from 10.0.0.4: icmp_req=93 ttl=64 time=0.128 ms
64 bytes from 10.0.0.4: icmp_req=94 ttl=64 time=0.111 ms
64 bytes from 10.0.0.4: icmp_req=95 ttl=64 time=0.111 ms
64 bytes from 10.0.0.4: icmp_req=96 ttl=64 time=0.145 ms
64 bytes from 10.0.0.4: icmp_req=97 ttl=64 time=0.155 ms
64 bytes from 10.0.0.4: icmp_req=98 ttl=64 time=0.123 ms
64 bytes from 10.0.0.4: icmp_req=99 ttl=64 time=0.117 ms
64 bytes from 10.0.0.4: icmp_req=100 ttl=64 time=0.189 ms

--- 10.0.0.4 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99000ms
rtt min/avg/max/mdev = 0.000/0.123/0.320/0.057 ms
